,Hotels,Ratings,Price,Link,Stars,Descriptions
0,Room Mate Gerard,"8,8",€ 578,https://www.booking.com/hotel/es/room-mate-gerard.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=224211802_98757563_0_2_0&highlighted_blocks=224211802_98757563_0_2_0&matching_block_id=224211802_98757563_0_2_0&sr_pri_blocks=224211802_98757563_0_2_0__57850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Room Mate Gerard en Barcelona ofrece alojamiento con piscina exterior de temporada y centro de fitness.

Cuenta con terraza. Su ubicación, en el distrito del Eixample, hace que esté cerca de atracciones como el Teatro Tívoli y a 700 metros de la calle Portal de l'Angel.

Todas las habitaciones del hotel ofrecen una decoración sencilla pero elegante. Están equipadas con armario, TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todos los alojamientos tienen baño privado con ducha y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla inglés y español y puede ofrecer información durante la estancia. Otras instalaciones incluyen WiFi portátil.

La Plaza de Cataluña está a 9 minutos a pie del alojamiento. A 13 km se halla el aeropuerto de Barcelona-El Prat."
1,Hotel Arts Barcelona,"8,4",€ 1.236,https://www.booking.com/hotel/es/arts-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=1471301_95139427_2_34_0&highlighted_blocks=1471301_95139427_2_34_0&matching_block_id=1471301_95139427_2_34_0&sr_pri_blocks=1471301_95139427_2_34_0__123583&nad_id=cd10c7f7-1749-4728-abc4-ff2dd48e9324_0&nad_cpc=0.52&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlB5UlVqV1o1YjJKVy9iU0pEa0U0TGh3SkJvWWYvTlNGL2JGN0owckZKaER1VGZyTExTNXkrYjM1U3JhbWRtM1lRTnpWVGJwN2JpK3BuNFZoMEVQY0VkTm85VnNURWYzOERXRmtxMmxYVDdXcWJBblZzOERYdlVrR01LMEFmekRqRGNkblRHcFpHYlFKWDBKYnA5blQ5ZmRKK0NwclRUUi9wd3VzdEFJY2hRVW5nWFV6ZnhpOEpqOWlZcjBtSHRGNlNZdXZkb3pRTHc3MkdLMHdneWYzeWxVOTRxTUFwR0w4OTZDeStvVlFudDlxRTRoRURsTjV5ZVNSdXZORnU1SjNlQnl0enhHM1ZLRUs1Z2tuYXRwVWw3anhRYzdlbmdDNzhDN1ZtYXlwU1ExUEJmZDRzUHltQTFHMkUzbWVZVHF3Z2RYUEw5OFNmQVo4U3JDRy9rTEJSTWNrQUdxaE44bGQ1eDIwQmVrN0lzT1BQZUNMZWg5ZlkvbklyWDFHSFlSTlpFT0FXb0N6Z3RYQkpPY1RnYkhqeklaNkpZcnZlRXJFOVBjREszb2E5bWVmWjNLbW05bVlyOStoVytXZmU4WGlmVlczNEVsSERKbzg0MjNtYldEZk83b2Y2YndZdHF4aXJVY0xvSFJuVENNaUxkdTJlWmRqeWJWbmRXa2dQa2lxYVFFVjdCOW9HWktaMnRPVkRSUHpTajdDeTZDeTJXZDFjOHJudFpEakQ4WEk2K0RIVnNtK0Q0TlllNWhwbnNnZWJQejdPVE82am8yLzdJTHpMYnhZR1JRRk1yYys4S2drNmNmQUI4WkdDMFBjNCtLWmZVekRzMWx3Q09TdFAybTdFS01Cb00xMWxtUFhpZ2R3dlBKSFF5U3pDdllzZXpNcEJ3ZUhDakdCUkhzYmdWTS9idVhENFg4WjVMNzR3bkx0Z1Z0aEdIemNqakM2eXYrem1uL2tPcGtoeE8wWFpELzFDb0hxcHdLMEI3bmZBUjBXeXI0VzdwQUVnV2k5MG5KbkZkWnd4M0hMOVpNQzkxVG1BR3J0K1dDa0pFWTlrWHdYTXg2a3FOdlVzQ0g5YmtnUkdFVkp5aDJnVEFNc09KTGVsNXVkWWp4Vjd0VGNrWWtNV2Ztbk5vWlY0SUtoNFk3YWx5ZFM3L205RmU5RkVzWmdFZ2cyVmR5K1dZbUFQRmo0aWo0SlpBYTBldHpQSW1RbGhmS2V3aHJ0SEdzaGZ1YWNnV3lFb1lHWnpGS3dKVXdxWFRPbmNKSitYWGJ5aVhSTnhCNUc1RjFvVjFZV0tncVhzbnhGMlNHSUt3dENvcERsLzZibVdBN2Z0TWdGZnRaalAvRWF5bHNWa2tTa1A0RnJtMlI1QUVNTFV4WHpQamhKZEFsNWJJWlZWSy8wV1ZNVkRFWmRSYm94ZDJ0RFhUd21mV2VLOFZyYThxeVBNZjE4ZzQ3VE8rcHZLYWdaRTJ2RjZYUWJwRmVlK21CaFRjQjVGR01wRGJ1eE5NcFNZYnhHN0RQOVFOc1NJcGtJaFk0QWZpSWJSMngwbDRLWTBodjN4bExOd1lQL2t4YUd5TGx6V1ozWElUeUQzNmtpbVZINFkyQ29xV1ZpSUtodkhWeDllQlA4VDFuSlJyb1Z1NVpPQ0dZRGNPblFPUmtqUkFUY2VpdDNGZU11RkJkcFFEMWppWEhpb3JjL3JlVE8yTGJBUnVmVHR0cEQzV05wK2dyaVBwZFh0ZHNnWklVZkFHblc0SWdrME15SjZlSkEwOUNXQzNjaDdxYndnOFVWbFdWU3JlVDg0WjVYLzQwMHpTbFcxdlNnRjBxb1IzVTlRSmRsWm9QakxmOFVNUjhySXJJckhIWklHdDBNeEZiaGFRZjRuNG1SUk82VWtUZW5KeVg3c3Zac21WaGFGdVlTWEpzM1BwVTRrNFhJM1RrWE1UNkNSK29WUkhFaGhNbElpVnk0U0tKNldrekdhQ0JadklPUjNIc2pTVC9hNldORE0rRkpFcnZENy84ZUJEOWxjcUhzZXp3NStMK2R0ZXZ4TFYvUVR0ck9GTFhEczhVekF6aG5UL0RrNGVXQlIxUGhzQVI5dHdOUTJybXltTW40MzlNdkpKWWZRN3E1U3dEd2IzeC9pTnY2ckxvYkowL3E4M3RWMjVSZ2h0QXkzMXR4dkg0RkNDd05HN0pmRkRUdi94T1hCcG1TVlRDbjhQRTV2ZEJQNjZqSkdHMzN5QmdlNFJIQnB4Nkp4bjdZUXYvQVlOUVNHVjJhZ3pDTUFNQThGZ0U1MlFVMGVxVk5waTBBMjJ4TnpNNWhUbFJwL1JNaEd5NDd3NnVxUFhYQkZETHFpWTR5ZU53cmhzd3JCdXlTSFJsTHVFSm1lOFBpNHlBZmN2MEt3Qks3TWhrL1Vua1JkNVZuNlVIa1dxR1ZYTitkR3NBeFA2YnFtb3JGZDBYcysxZm05NDFRZzhld09xVzhVeXd4ek5XYm9GU09FWHFKMk9wVnIwUmtMT2p4Y256T0UwaHozbnUxbll3Z2ljMEtudGxDZk9ieWtMM0dKKy85SXliNlpsblRMaDJJamkvMDlGeG1Xb0JQazZqMGpJQlZ2a0Q3YkJtVDRBTTd2UlF6RVUxMTFXV2hkVHBBYTdhSXV2ancza2VUN3paRCtvbkpzenNGOGFvSXR4NmJ0WjdORXdraGpmaU1LUTBjUUlWdHBjeWx6dWF1Y01XZ21RMUcwSC9ibUFqWDlVaXVRRFFOazNnaE9sLzU4ekkxU3B6Yys0WXNUR2c3bkJ1dnVCM3grS0NNSnZRaElsMmpFKzRYZlh0eFNZRzJReXdhZU9ML1d1c0wrRXp1SGFjR1dVQnhIeGQ4Mzc1M3FPTkVtTHlhL1JnbHJCNGh0YkZrY1NxWmdRaWRVV3J3Q0xSdDNMYzZ5MmVMRnYyUzdEN3hpR0lTeDdtcmVMRzJTa3VBZENxcTFPbVBpRnB5ZDRLeWFReGJQbTVRS1ZabnJJR1daWFNVL3RhZVE5TzREMmZHczVkRFFOYTB6RjB5S0tYUnhwaEpGTkJTT1BIZ25kTVlHM3NDb3Vab25ZMDZVWWtCbXl6aEVEZGJkTlFlNnhyV29JNk1Na3M1Q3JNYW1mSkFHSmU4dHdaOFhPOFNaOFRQOEg3a1ZPL2gyWEJzOHV4VG5nZEhlV0VPVFdNVk1DaDgvbmhRKzVLS3JIWjF4VFRuN3hCNTU5L0Z2azlpTjQ2b1lFUlFYdkZEQ2FQNkFjUkRFWlNsdHFIVis4a3BGc3Jmbnowc2gvM2YifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5,"Este hotel de diseño tiene vistas a la playa de la Barceloneta y al centro de Barcelona y cuenta con 2 piscinas al aire libre y spa de lujo con vistas a la ciudad. El Hotel Arts alberga una colección de arte y un restaurante con 2 estrellas Michelin.

El hotel Arts se halla junto al puerto olímpico de Barcelona, rodeado de tiendas y bares animados. Se encuentra a 250 metros de la playa de la Barceloneta y a 300 metros del parque de la Ciudadela.

Las habitaciones del Arts Hotel incluyen TV de pantalla plana y equipo de música. El baño tiene ducha y bañera independientes.

El restaurante Enoteca del hotel, galardonado con 2 estrellas Michelin, sirve platos excelentes de la cocina mediterránea. El establecimiento alberga otros bares y restaurantes, entre ellos un bar junto a la piscina donde se sirven comidas ligeras en verano.

El Hotel Arts cuenta con peluquería y varias boutiques de moda de lujo. El personal del equipo de conserjería del hotel habla varios idiomas. Hay un centro de negocios totalmente equipado."
2,Hostal Balmes Centro,"7,3",€ 206,https://www.booking.com/hotel/es/hostal-centro-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=28644610_88635036_0_0_0&highlighted_blocks=28644610_88635036_0_0_0&matching_block_id=28644610_88635036_0_0_0&sr_pri_blocks=28644610_88635036_0_0_0__20648&from=searchresults#hotelTmpl,2,"El Hostal Balmes Centro ofrece recepción 24 horas, servicio de información turística, conexión WiFi gratuita y consigna de equipaje gratuita. Este establecimiento se encuentra en Barcelona, a 5 minutos a pie del paseo de Gracia y de La Pedrera, una de las obras maestras de Gaudí.

Todas las habitaciones del Hostal Balmes Centro cuentan con TV de pantalla plana, armario, nevera, 1 cama doble o 2 individuales y baño privado o compartido con bañera o ducha, secador de pelo y artículos de aseo gratuitos.

 En los alrededores hay numerosos bares y restaurantes que sirven tapas tradicionales.

El mostrador de información turística del Hostal Balmes Centro permite alquilar coches o bicicletas y organizar excursiones. La plaza de Cataluña y las Ramblas están situadas a 10 minutos a pie, mientras que la Casa Batlló se encuentra a 500 metros.

El aeropuerto de Barcelona El Prat se halla a 17 minutos en coche. Además, a 550 metros del establecimiento hay una estación con servicio regular de trenes hacia el aeropuerto."
3,Hostal la Palmera,"8,6",€ 251,https://www.booking.com/hotel/es/hostal-la-palmera.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=39517102_376664648_0_0_0&highlighted_blocks=39517102_376664648_0_0_0&matching_block_id=39517102_376664648_0_0_0&sr_pri_blocks=39517102_376664648_0_0_0__25092&from=searchresults#hotelTmpl,2,"Este hostal, de ambiente tranquilo, está situado detrás del mercado de La Boquería, a 100 metros de Las Ramblas. El hostal alberga una zona de WiFi gratuita y ofrece habitaciones luminosas y servicio de recepción las 24 horas del día.

Las habitaciones de La Palmera presentan una decoración elegante y tienen parquet flotante. También disponen de aire acondicionado, lavamanos y baño privado o compartido. El hostal proporciona toallas y ropa de cama.

El personal de recepción ofrece té, café y bebidas frías, por un suplemento. A menos de 2 minutos a pie hay numerosos bares, restaurantes y tiendas. La plaza Real se encuentra a 300 metros.

El Hostal la Palmera está situado a 5 minutos a pie de la catedral de Barcelona, en el Barrio Gótico. La Pedrera y la Casa Batlló de Gaudí se encuentran a 20 minutos a pie.

El Hostal la Palmera está situado a 2 minutos a pie de la estación de metro de Liceu. La plaza de Cataluña, donde tienen parada los autobuses directos con destino al aeropuerto de Barcelona-El Prat, se encuentra a 600 metros. El Port Vell está situado a 10 minutos a pie."
4,Ilunion Auditori,"8,2",€ 335,https://www.booking.com/hotel/es/confortel-auditori.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=9277401_107323228_0_2_0&highlighted_blocks=9277401_107323228_0_2_0&matching_block_id=9277401_107323228_0_2_0&sr_pri_blocks=9277401_107323228_0_2_0__33452&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3,"El Ilunion Auditori, situado a 10 minutos a pie de la estación de tren y de la estación de metro Arc de Triomf, alberga un gimnasio y tiene una piscina de 3 metros de ancho y 5 metros de largo en la azotea. Hay WiFi gratuita en todas las zonas.

Todas las habitaciones del Auditori son modernas y disponen de suelo de madera, aire acondicionado, caja fuerte y TV de pantalla plana con canales vía satélite. El baño privado incluye secador de pelo y artículos de aseo gratuitos.

Este hotel está oficialmente adaptado para personas con discapacidad. Las habitaciones adaptadas para personas con discapacidad o con discapacidad auditiva o visual están disponibles bajo petición.

El Ilunion Auditori sirve un desayuno buffet a diario y elabora platos a la carta con productos de temporada. También se ofrece un menú especial para celíacos y personas con intolerancias. El horario del servicio de habitaciones es limitado y el bar abre por las noches. Además, hay numerosos restaurantes y bares en las zonas cercanas del Eixample, el Born y el Barrio Gótico.

Este establecimiento alberga un gimnasio equipado con máquinas de ejercicio cardiovascular. La piscina de temporada de la azotea está rodeada de tumbonas y ofrece vistas impresionantes a la ciudad.

En la zona de recepción hay ordenadores con conexión a internet gratuita. El famoso Auditorio de Barcelona se halla a 5 minutos a pie del establecimiento, mientras que la basílica de la Sagrada Familia y el parque de la Ciutadella quedan a 1,5 km. Asimismo, este establecimiento facilita aparcamiento privado subterráneo por un suplemento.

Este hotel cuenta con la certificación oficial sobre espacios adaptados para personas con movilidad reducida."
5,Hotel Glòries,"7,9",€ 267,https://www.booking.com/hotel/es/glories.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=9144304_387058089_0_2_0&highlighted_blocks=9144304_387058089_0_2_0&matching_block_id=9144304_387058089_0_2_0&sr_pri_blocks=9144304_387058089_0_2_0__26684&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3,"Este hotel moderno está situado a 200 metros de la plaza de toros Monumental de Barcelona y a 12 minutos de la Sagrada Familia. Ofrece habitaciones con aire acondicionado, calefacción, TV vía satélite y conexión Wi-Fi gratuita.

La parada de metro Monumental se encuentra a tan solo 3 minutos a pie del Hotel Glòries y proporciona conexiones directas con la plaza Catalunya en unos 5 minutos.

El hotel es perfecto para visitar el distrito 22@ de la innovación y la torre Agbar. El teatro nacional de Catalunya y la sala de conciertos Auditori están a solo 400 metros.

El Hotel Glòries dispone de recepción las 24 horas y ofrece servicios de alquiler de coches y bicicletas, de cambio de divisa y de venta de entradas."
6,Hotel Alimara,"8,3",€ 230,https://www.booking.com/hotel/es/hotelalimara.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__23001&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4,"El Hotel Alimara es moderno y está ubicado en el barrio barcelonés de Horta. Cuenta con centro de fitness, jardín central, varias salas de reuniones y habitaciones con TV de pantalla plana.

Todas las habitaciones del Alimara Hotel están equipadas con aire acondicionado y calefacción. Todos los alojamientos disponen de baño privado con secador de pelo.

El restaurante del establecimiento Alimara propone platos de la cocina mediterránea con un toque moderno. Hay menú infantil. El hotel alberga el bar SUMMUM, que cuenta con terraza y ofrece comida, bebidas y aperitivos.

El hotel se halla a 1 minuto a pie de la estación de metro Mundet y a un trayecto de 12 minutos del centro de Barcelona. El emblemático parque Güell de Gaudí queda a 4 paradas desde la estación de metro Mundet."
7,Hostalin Barcelona Gran Via,"8,1",€ 308,https://www.booking.com/hotel/es/hostalin-barcelona-gran-via.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=50325401_88155208_0_0_0&highlighted_blocks=50325401_88155208_0_0_0&matching_block_id=50325401_88155208_0_0_0&sr_pri_blocks=50325401_88155208_0_0_0__30812&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3,"El Hostalín Barcelona Gran Vía goza de una ubicación céntrica y ofrece recepción abierta las 24 horas, consigna gratuita de equipaje y habitaciones insonorizadas con conexión Wi-Fi gratuita. Algunas habitaciones tienen balcón. El paseo de Gracia se encuentra a 600 metros.

Las habitaciones cuentan con suelo de madera, aire acondicionado, TV de pantalla plana, baño privado con ducha, secador de pelo y plancha para el pelo. Incluyen ropa de cama y toallas.

El establecimiento alberga una sala de estar común con sofás, ordenadores con conexión a internet, TV y máquinas expendedoras. También hay una nevera compartida.

En los alrededores encontrará muchos bares, restaurantes y tiendas abiertos hasta tarde. También se pueden comprar productos frescos en el mercado de La Concepción, situado a 500 metros.

El Hostalín Barcelona Gran Vía se halla en el barrio del Eixample y está bien comunicado en transporte público. A 250 metros del establecimiento hay 2 estaciones de metro de diferentes líneas. Además, la estación de autobuses de Barcelona Nord, que ofrece servicio al aeropuerto de Girona-Costa Brava, se sitúa a 10 minutos a pie."
8,H Regas Adults Only,"7,5",€ 305,https://www.booking.com/hotel/es/hregas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=829282202_377468292_2_0_0&highlighted_blocks=829282202_377468292_2_0_0&matching_block_id=829282202_377468292_2_0_0&sr_pri_blocks=829282202_377468292_2_0_0__30452&from=searchresults#hotelTmpl,2,"H Regas Adults Only ofrece habitaciones con aire acondicionado y TV de pantalla plana en el barrio de Sarrià-Sant Gervasi, en Barcelona. Este hostal o pensión de 2 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hostal o pensión tiene bañera de hidromasaje y guardaequipaje.

El baño privado está equipado con bañera, artículos de aseo gratuitos y secador de pelo. En el hostal o pensión, cada habitación dispone de ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como La Pedrera, Casa Batlló y Paseo de Gracia. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 14 km."
9,Hostalet de Barcelona,"7,3",€ 233,https://www.booking.com/hotel/es/hostalet-de-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Aobf-a0GwAIB0gIkYmE1NmFiOTItYmRhNy00OWMxLWFjYmEtOTYzZTAxMTU3NDA42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-06&checkout=2024-06-08&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=218276dd1f4a0347&srepoch=1706979528&all_sr_blocks=30211906_88497473_0_0_0&highlighted_blocks=30211906_88497473_0_0_0&matching_block_id=30211906_88497473_0_0_0&sr_pri_blocks=30211906_88497473_0_0_0__23312&from=searchresults#hotelTmpl,0,"Las ​​habitaciones del Hostalet de Barcelona son luminosas y prácticas e incluyen TV y conexión WiFi gratuita. La estación de metro de Hospital Clinic está a 300 metros.

El Hostalet se encuentra a 15 minutos a pie del Paseo de Gracia, una calle famosa que alberga los edificios de Gaudí, La Pedrera y la Casa Batlló.

La estación de metro de Hospital Clinic ofrece conexiones directas con la Sagrada Familia y el estadio de fútbol Camp Nou. La estación de Provença, ubicada a 800 metros, le permitirá acceder fácilmente a la plaza de Cataluña.

Las habitaciones del Hostalet son sencillas y elegantes, e incluyen baño privado. Algunas también disponen de balcón con vistas a la calle o a un patio central. A su llegada, recibirá un obsequio de bienvenida, una botella de agua y un paquete de galletas."
